second,mean_vmaf,mean_psnr,mean_ssim,mean_strred,mean_bitrate,rebuffer_fraction,mean_cont_mos,video_name,content_name,adaptation_algorithm,throughput_trace,spatial_info,temporal_info,rebuffer_duration_sec,retrospective_mos
0,61.41365617098486,40.561729633333336,0.9881433000000002,44.50021370572076,127.28941176470592,0.0,0.21840671972790063,data,AirShow,HuangBufferBasedAdaptor,Car_snaroya_smestad,24.465410465044613,9.669711446285113,0.0,0.7618791424403407
1,59.66564050872367,40.41841466666666,0.9870098666666667,76.02819558725811,127.28800000000004,0.0,0.14298113181616384,data,AirShow,HuangBufferBasedAdaptor,Car_snaroya_smestad,24.465410465044613,9.669711446285113,0.0,0.7618791424403407
2,58.849909490321856,40.03522233333333,0.9862993,58.285910480957064,127.28470588235298,0.0,-0.1923367212062098,data,AirShow,HuangBufferBasedAdaptor,Car_snaroya_smestad,24.465410465044613,9.669711446285113,0.0,0.7618791424403407
3,52.04640431322313,39.563313566666665,0.9838476333333334,60.263824958236306,155.9350588235294,0.0,-0.333028159140362,data,AirShow,HuangBufferBasedAdaptor,Car_snaroya_smestad,24.465410465044613,9.669711446285113,0.0,0.7618791424403407
4,53.39321442095145,39.31304153333333,0.9810611,55.387693336444904,175.03529411764708,0.0,-0.41317001997622416,data,AirShow,HuangBufferBasedAdaptor,Car_snaroya_smestad,24.465410465044613,9.669711446285113,0.0,0.7618791424403407
5,47.28729730746829,38.5992913,0.9792580666666668,59.7669630671279,166.7002352941177,0.0,-0.38193746131158085,data,AirShow,HuangBufferBasedAdaptor,Car_snaroya_smestad,24.465410465044613,9.669711446285113,0.0,0.7618791424403407
6,54.96085264207895,39.92658016666666,0.9786371666666666,75.46891206842214,563.3882352941176,0.0,-0.32392592378347473,data,AirShow,HuangBufferBasedAdaptor,Car_snaroya_smestad,24.465410465044613,9.669711446285113,0.0,0.7618791424403407
7,90.75271071872709,46.72656406666666,0.9944257999999999,6.704171700741366,2153.844705882352,0.0,-0.24691556715662577,data,AirShow,HuangBufferBasedAdaptor,Car_snaroya_smestad,24.465410465044613,9.669711446285113,0.0,0.7618791424403407
8,69.90001173673734,42.0470107,0.9897072333333334,28.397152068269335,1151.612752941176,0.0,0.20938941057762026,data,AirShow,HuangBufferBasedAdaptor,Car_snaroya_smestad,24.465410465044613,9.669711446285113,0.0,0.7618791424403407
9,55.19941383560275,38.87911713333334,0.9874008,34.51322820162394,149.38079999999997,0.0,0.49074157419825204,data,AirShow,HuangBufferBasedAdaptor,Car_snaroya_smestad,24.465410465044613,9.669711446285113,0.0,0.7618791424403407
