second,mean_vmaf,mean_psnr,mean_ssim,mean_strred,mean_bitrate,rebuffer_fraction,mean_cont_mos,video_name,content_name,adaptation_algorithm,throughput_trace,spatial_info,temporal_info,rebuffer_duration_sec,retrospective_mos
0,42.38521489409906,27.035744374999997,0.8993967916666668,122.3300905191385,217.92564705882353,0.0,0.023104404714415952,TearsOfSteelRobot_VMAFViterbiQualityBasedAdaptor_Trace_1,TearsOfSteelRobot,VMAFViterbiQualityBasedAdaptor,Tram_jernbanetorget_ljabru,69.11774877987803,31.887388545502258,0.0,-0.5169019173444446
1,40.24887912358896,26.756488208333334,0.8928358333333334,146.04212726993003,221.46682352941173,0.0,-0.10223403261699564,TearsOfSteelRobot_VMAFViterbiQualityBasedAdaptor_Trace_1,TearsOfSteelRobot,VMAFViterbiQualityBasedAdaptor,Tram_jernbanetorget_ljabru,69.11774877987803,31.887388545502258,0.0,-0.5169019173444446
2,37.94829375970951,27.450801833333333,0.8908109166666667,255.0744683273257,244.54467226890756,0.0,-0.3676568184922668,TearsOfSteelRobot_VMAFViterbiQualityBasedAdaptor_Trace_1,TearsOfSteelRobot,VMAFViterbiQualityBasedAdaptor,Tram_jernbanetorget_ljabru,69.11774877987803,31.887388545502258,0.0,-0.5169019173444446
3,40.00796376160552,29.901424833333333,0.8652669999999999,975.7854360077505,347.2868571428572,0.0,-0.41487180779890603,TearsOfSteelRobot_VMAFViterbiQualityBasedAdaptor_Trace_1,TearsOfSteelRobot,VMAFViterbiQualityBasedAdaptor,Tram_jernbanetorget_ljabru,69.11774877987803,31.887388545502258,0.0,-0.5169019173444446
4,54.96044376153609,33.58322079166667,0.9190277916666667,474.734485726447,443.896380952381,0.0,-0.5820386499435354,TearsOfSteelRobot_VMAFViterbiQualityBasedAdaptor_Trace_1,TearsOfSteelRobot,VMAFViterbiQualityBasedAdaptor,Tram_jernbanetorget_ljabru,69.11774877987803,31.887388545502258,0.0,-0.5169019173444446
5,63.99678499574258,35.164415874999996,0.9520614166666667,50.850932811530214,579.1497142857144,0.0,-0.6447585804144093,TearsOfSteelRobot_VMAFViterbiQualityBasedAdaptor_Trace_1,TearsOfSteelRobot,VMAFViterbiQualityBasedAdaptor,Tram_jernbanetorget_ljabru,69.11774877987803,31.887388545502258,0.0,-0.5169019173444446
6,63.35590613069551,33.82904691666667,0.9414797916666667,126.82290342241276,673.0826489479513,0.0,-0.32654048876341546,TearsOfSteelRobot_VMAFViterbiQualityBasedAdaptor_Trace_1,TearsOfSteelRobot,VMAFViterbiQualityBasedAdaptor,Tram_jernbanetorget_ljabru,69.11774877987803,31.887388545502258,0.0,-0.5169019173444446
7,58.31065955678389,32.33780779166667,0.92050375,170.94847203297044,720.0491162790698,0.0,-0.25001602449437826,TearsOfSteelRobot_VMAFViterbiQualityBasedAdaptor_Trace_1,TearsOfSteelRobot,VMAFViterbiQualityBasedAdaptor,Tram_jernbanetorget_ljabru,69.11774877987803,31.887388545502258,0.0,-0.5169019173444446
8,57.001146368037574,31.405201625,0.90467375,203.01866374429468,910.5142325581395,0.0,-0.2055307149000286,TearsOfSteelRobot_VMAFViterbiQualityBasedAdaptor_Trace_1,TearsOfSteelRobot,VMAFViterbiQualityBasedAdaptor,Tram_jernbanetorget_ljabru,69.11774877987803,31.887388545502258,0.0,-0.5169019173444446
9,55.66530063475144,30.862775458333335,0.8942685833333334,222.0370022035563,916.0617674418604,0.0,-0.20376773274948223,TearsOfSteelRobot_VMAFViterbiQualityBasedAdaptor_Trace_1,TearsOfSteelRobot,VMAFViterbiQualityBasedAdaptor,Tram_jernbanetorget_ljabru,69.11774877987803,31.887388545502258,0.0,-0.5169019173444446
